original	disposition	final_path	residual_path	stale_updated	evidence_anchor	review_record
agentic-supervised-swebench.md	pending_accurate	docs/proposals/pending/agentic-supervised-swebench.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
aimee-core-capability-contract.md	partial_archived	docs/proposals/done/aimee-core-capability-contract.md	docs/proposals/pending/aimee-core-cross-process-contract-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
appliance-state-recovery-runbook.md	complete	docs/proposals/done/appliance-state-recovery-runbook.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	workflow-wi_36d92dad5082a081952bac50d0aaf4bb-pr-2329
capability-scoped-agent-execution.md	pending_accurate	docs/proposals/pending/capability-scoped-agent-execution.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
capability-thresholded-delegate-routing-residual.md	pending_accurate	docs/proposals/pending/capability-thresholded-delegate-routing-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
code-graph-architecture-surface.md	partial_archived	docs/proposals/done/code-graph-architecture-surface.md	docs/proposals/pending/code-graph-route-storage-orientation-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
code-intelligence-language-coverage.md	pending_accurate	docs/proposals/pending/code-intelligence-language-coverage.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
compaction-quality-baseline.md	pending_accurate	docs/proposals/pending/compaction-quality-baseline.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
config-field-descriptor-save-residual.md	pending_accurate	docs/proposals/pending/config-field-descriptor-save-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
config-single-source-of-truth-audit.md	partial_archived	docs/proposals/done/config-single-source-of-truth-audit.md	docs/proposals/pending/config-authority-surface-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
config-t-encapsulation.md	partial_archived	docs/proposals/done/config-t-encapsulation.md	docs/proposals/pending/config-t-test-and-accessor-safety-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
core-substrate-and-source-module-boundaries-residual.md	partial_archived	docs/proposals/done/core-substrate-and-source-module-boundaries-residual.md	docs/proposals/pending/core-process-separation-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
corpus-pipeline-has-no-driver.md	pending_accurate	docs/proposals/pending/corpus-pipeline-has-no-driver.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
dedicated-extraction-model-curator-tier-a.md	pending_accurate	docs/proposals/pending/dedicated-extraction-model-curator-tier-a.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
delegate-budget-must-fit-its-stage-cap.md	complete	docs/proposals/done/delegate-budget-must-fit-its-stage-cap.md	-	archive_notice	PENDING_AUDIT_2026-08-13.md	delegate-executor-go-pr-2645
delegate-sandbox-aimee-sole-egress.md	pending_accurate	docs/proposals/pending/delegate-sandbox-aimee-sole-egress.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
delegate-sandbox-image-customization.md	pending_accurate	docs/proposals/pending/delegate-sandbox-image-customization.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
dynamic-tool-egress-registration-identity.md	pending_accurate	docs/proposals/pending/dynamic-tool-egress-registration-identity.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
embedder-image-split-and-rebuild.md	partial_archived	docs/proposals/done/embedder-image-split-and-rebuild.md	docs/proposals/pending/embedder-sidecar-deployment-and-migration-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
embedder-query-document-prefixes.md	complete	docs/proposals/done/embedder-query-document-prefixes.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
event-bus-governance-and-capture.md	partial_archived	docs/proposals/done/event-bus-governance-and-capture.md	docs/proposals/pending/event-bus-enforcement-and-attestation-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
event-bus-wire-spec.md	partial_archived	docs/proposals/done/event-bus-wire-spec.md	docs/proposals/pending/event-bus-third-language-conformance.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
